trade_date,signals_available,signals_taken,signals_skipped,wins,losses,timeouts,net_ticks,session_profitable
2024-01-02,2,2,0,2,0,0,120,True
2024-01-03,1,1,0,1,0,0,60,True
2024-01-09,6,4,2,3,1,0,164,True
2024-01-11,3,3,0,3,0,0,180,True
2024-01-16,4,3,1,3,0,0,180,True
2024-01-22,9,4,5,4,0,0,240,True
2024-02-07,3,2,1,2,0,0,120,True
2024-02-08,9,4,5,4,0,0,240,True
2024-02-12,1,1,0,1,0,0,60,True
2024-02-13,8,5,3,5,0,0,300,True
2024-02-15,1,1,0,1,0,0,60,True
2024-02-20,2,2,0,2,0,0,120,True
2024-02-22,2,2,0,2,0,0,120,True
2024-02-28,6,5,1,5,0,0,300,True
2024-02-29,8,8,0,8,0,0,480,True
2024-03-06,8,8,0,8,0,0,480,True
2024-03-07,10,10,0,10,0,0,600,True
2024-03-12,1,1,0,0,1,0,-16,False
2024-03-14,6,2,4,0,2,0,-32,False
2024-03-19,1,1,0,1,0,0,60,True
2024-03-21,8,6,2,6,0,0,360,True
2024-03-25,9,4,5,4,0,0,240,True
2024-04-02,2,2,0,2,0,0,120,True
2024-04-03,9,3,6,3,0,0,180,True
2024-04-08,4,1,3,1,0,0,60,True
2024-04-10,10,5,5,4,1,0,224,True
2024-04-16,9,7,2,6,1,0,344,True
2024-04-17,7,5,2,5,0,0,300,True
2024-04-18,6,3,3,1,2,0,28,True
2024-04-23,2,1,1,1,0,0,60,True
2024-04-29,1,1,0,1,0,0,60,True
2024-05-07,8,3,5,3,0,0,180,True
2024-05-08,3,3,0,3,0,0,180,True
2024-05-13,12,5,7,5,0,0,300,True
2024-05-15,1,1,0,1,0,0,60,True
2024-05-20,2,2,0,2,0,0,120,True
2024-05-22,3,2,1,2,0,0,120,True
2024-05-27,2,1,1,1,0,0,60,True
2024-05-28,12,10,2,10,0,0,600,True
2024-06-05,9,9,0,9,0,0,540,True
2024-06-10,7,7,0,7,0,0,420,True
2024-06-13,2,2,0,2,0,0,120,True
2024-06-19,9,2,7,0,2,0,-32,False
2024-06-20,5,2,3,0,2,0,-32,False
2024-06-25,2,2,0,2,0,0,120,True
2024-06-26,8,5,3,4,1,0,224,True
2024-06-27,5,4,1,4,0,0,240,True
2024-07-01,2,1,1,0,1,0,-16,False
2024-07-04,6,1,5,1,0,0,60,True
2024-07-08,1,1,0,1,0,0,60,True
2024-07-09,1,1,0,1,0,0,60,True
2024-07-11,6,3,3,1,2,0,28,True
2024-07-15,5,3,2,3,0,0,180,True
2024-07-17,1,1,0,1,0,0,60,True
2024-07-22,4,3,1,3,0,0,180,True
2024-07-24,8,8,0,8,0,0,480,True
2024-07-25,4,2,2,2,0,0,120,True
2024-07-29,1,1,0,0,1,0,-16,False
2024-07-30,3,2,1,2,0,0,120,True
2024-08-01,1,1,0,1,0,0,60,True
2024-08-06,1,1,0,1,0,0,60,True
2024-08-08,10,10,0,10,0,0,600,True
2024-08-13,3,2,1,1,1,0,44,True
2024-08-14,4,4,0,4,0,0,240,True
2024-08-15,8,6,2,5,1,0,284,True
2024-08-20,7,4,3,4,0,0,240,True
2024-08-21,8,4,4,4,0,0,240,True
2024-08-26,3,2,1,2,0,0,120,True
2024-08-27,1,1,0,1,0,0,60,True
2024-09-02,6,6,0,6,0,0,360,True
2024-09-03,4,4,0,4,0,0,240,True
2024-09-04,10,10,0,10,0,0,600,True
2024-09-05,7,7,0,7,0,0,420,True
2024-09-09,12,12,0,12,0,0,720,True
2024-09-10,3,3,0,3,0,0,180,True
2024-09-12,9,9,0,9,0,0,540,True
2024-09-16,6,6,0,6,0,0,360,True
2024-09-18,6,2,4,0,2,0,-32,False
2024-09-19,5,2,3,0,2,0,-32,False
2024-09-23,11,5,6,3,2,0,148,True
2024-09-24,7,3,4,2,1,0,104,True
2024-09-25,1,1,0,1,0,0,60,True
2024-09-26,4,2,2,1,1,0,44,True
2024-10-01,4,4,0,4,0,0,240,True
2024-10-02,7,6,1,6,0,0,360,True
2024-10-07,5,4,1,4,0,0,240,True
2024-10-08,1,1,0,1,0,0,60,True
2024-10-10,4,1,3,1,0,0,60,True
2024-10-14,9,4,5,4,0,0,240,True
2024-10-15,1,1,0,1,0,0,60,True
2024-10-17,4,2,2,2,0,0,120,True
2024-10-21,4,2,2,2,0,0,120,True
2024-10-24,12,5,7,4,1,0,224,True
2024-10-29,1,1,0,1,0,0,60,True
2024-10-31,5,5,0,5,0,0,300,True
2024-11-04,3,2,1,2,0,0,120,True
2024-11-07,6,4,2,4,0,0,240,True
2024-11-11,12,6,6,5,1,0,284,True
2024-11-12,8,7,1,7,0,0,420,True
2024-11-13,3,3,0,3,0,0,180,True
2024-11-18,4,4,0,4,0,0,240,True
2024-11-20,3,3,0,2,1,0,104,True
2024-11-25,4,4,0,4,0,0,240,True
2024-11-27,4,3,1,3,0,0,180,True
2024-11-28,9,8,1,7,1,0,404,True
2024-12-02,13,11,2,11,0,0,660,True
2024-12-03,4,4,0,4,0,0,240,True
2024-12-04,2,2,0,2,0,0,120,True
2024-12-09,8,8,0,8,0,0,480,True
2024-12-11,5,5,0,5,0,0,300,True
2024-12-12,6,6,0,6,0,0,360,True
2024-12-17,6,2,4,0,2,0,-32,False
2024-12-23,2,2,0,2,0,0,120,True
2024-12-26,3,2,1,2,0,0,120,True
2025-01-06,5,5,0,5,0,0,300,True
2025-01-07,4,3,1,3,0,0,180,True
2025-01-08,5,3,2,3,0,0,180,True
2025-01-15,6,4,2,4,0,0,240,True
2025-01-16,5,4,1,4,0,0,240,True
2025-01-20,6,5,1,3,2,0,148,True
2025-01-27,1,1,0,1,0,0,60,True
2025-01-29,3,2,1,2,0,0,120,True
2025-01-30,4,4,0,4,0,0,240,True
2025-02-03,1,1,0,1,0,0,60,True
2025-02-04,5,3,2,3,0,0,180,True
2025-02-05,1,1,0,1,0,0,60,True
2025-02-06,10,4,6,4,0,0,240,True
2025-02-11,1,1,0,1,0,0,60,True
2025-02-12,1,1,0,1,0,0,60,True
2025-02-17,2,2,0,2,0,0,120,True
2025-02-24,8,8,0,8,0,0,480,True
2025-02-25,8,7,1,7,0,0,420,True
2025-02-26,8,7,1,7,0,0,420,True
2025-02-27,1,1,0,0,1,0,-16,False
2025-03-04,8,8,0,8,0,0,480,True
2025-03-10,10,10,0,8,2,0,448,True
2025-03-12,4,4,0,4,0,0,240,True
2025-03-13,1,1,0,1,0,0,60,True
2025-03-17,8,2,6,0,2,0,-32,False
2025-03-18,6,2,4,0,2,0,-32,False
2025-03-20,2,2,0,0,2,0,-32,False
2025-03-24,15,9,6,9,0,0,540,True
2025-03-26,1,1,0,1,0,0,60,True
2025-03-27,3,3,0,3,0,0,180,True
2025-03-31,4,4,0,3,1,0,164,True
2025-04-01,8,8,0,7,1,0,404,True
2025-04-07,2,2,0,1,1,0,44,True
2025-04-10,6,2,4,0,2,0,-32,False
2025-04-14,2,2,0,2,0,0,120,True
2025-04-16,2,2,0,0,2,0,-32,False
2025-04-23,7,4,3,2,2,0,88,True
2025-04-28,2,2,0,2,0,0,120,True
2025-04-29,2,1,1,1,0,0,60,True
2025-05-01,8,7,1,5,2,0,268,True
2025-05-07,3,3,0,1,2,0,28,True
2025-05-08,5,3,2,2,1,0,104,True
2025-05-12,5,4,1,4,0,0,240,True
2025-05-13,16,9,7,8,1,0,464,True
2025-05-14,3,2,1,0,2,0,-32,False
2025-05-15,4,4,0,3,1,0,164,True
2025-05-19,7,6,1,6,0,0,360,True
2025-05-20,8,7,1,6,1,0,344,True
2025-05-22,9,3,6,1,2,0,28,True
2025-05-26,3,3,0,3,0,0,180,True
2025-05-27,4,4,0,3,1,0,164,True
2025-05-28,1,1,0,1,0,0,60,True
2025-05-29,9,9,0,9,0,0,540,True
2025-06-02,4,4,0,4,0,0,240,True
2025-06-03,12,12,0,12,0,0,720,True
2025-06-05,7,7,0,7,0,0,420,True
2025-06-09,7,7,0,7,0,0,420,True
2025-06-10,5,5,0,5,0,0,300,True
2025-06-11,6,3,3,1,2,0,28,True
2025-06-12,9,7,2,5,2,0,268,True
2025-06-17,4,2,2,0,2,0,-32,False
2025-06-24,4,3,1,3,0,0,180,True
2025-06-25,10,2,8,0,2,0,-32,False
2025-06-26,3,3,0,3,0,0,180,True
2025-06-30,1,1,0,1,0,0,60,True
2025-07-01,1,1,0,0,1,0,-16,False
2025-07-02,1,1,0,1,0,0,60,True
2025-07-03,5,3,2,2,1,0,104,True
2025-07-07,3,3,0,3,0,0,180,True
2025-07-08,5,4,1,3,1,0,164,True
2025-07-09,3,3,0,2,1,0,104,True
2025-07-10,2,2,0,2,0,0,120,True
2025-07-17,7,4,3,4,0,0,240,True
2025-07-22,1,1,0,1,0,0,60,True
2025-07-24,3,2,1,2,0,0,120,True
2025-07-28,14,3,11,3,0,0,180,True
2025-07-29,2,2,0,2,0,0,120,True
2025-08-05,2,2,0,2,0,0,120,True
2025-08-06,1,1,0,1,0,0,60,True
2025-08-07,6,4,2,4,0,0,240,True
2025-08-11,5,4,1,4,0,0,240,True
2025-08-12,7,5,2,5,0,0,300,True
2025-08-13,6,5,1,5,0,0,300,True
2025-08-14,2,2,0,2,0,0,120,True
2025-08-18,8,6,2,5,1,0,284,True
2025-08-19,10,7,3,7,0,0,420,True
2025-08-20,1,1,0,1,0,0,60,True
2025-08-21,8,4,4,3,1,0,164,True
2025-08-27,1,1,0,1,0,0,60,True
2025-09-01,1,1,0,1,0,0,60,True
2025-09-03,3,3,0,3,0,0,180,True
2025-09-08,4,4,0,4,0,0,240,True
2025-09-11,14,14,0,14,0,0,840,True
2025-09-15,13,13,0,13,0,0,780,True
2025-09-16,10,2,8,0,2,0,-32,False
2025-09-18,5,2,3,0,2,0,-32,False
2025-09-23,4,2,2,2,0,0,120,True
2025-09-25,10,4,6,4,0,0,240,True
2025-09-29,6,4,2,3,1,0,164,True
2025-09-30,2,2,0,1,1,0,44,True
2025-10-01,3,3,0,3,0,0,180,True
