trade_date,signals_available,signals_taken,signals_skipped,wins,losses,timeouts,net_ticks,session_profitable
2024-01-02,2,2,0,2,0,0,120,True
2024-01-09,1,1,0,1,0,0,60,True
2024-01-10,1,1,0,1,0,0,60,True
2024-01-11,2,2,0,2,0,0,120,True
2024-01-15,1,1,0,1,0,0,60,True
2024-01-16,6,3,3,2,1,0,104,True
2024-01-17,3,3,0,3,0,0,180,True
2024-01-18,4,4,0,4,0,0,240,True
2024-01-22,23,8,15,8,0,0,480,True
2024-01-24,9,7,2,5,2,0,268,True
2024-01-25,3,3,0,3,0,0,180,True
2024-01-29,16,6,10,6,0,0,360,True
2024-01-30,4,2,2,2,0,0,120,True
2024-02-05,5,5,0,5,0,0,300,True
2024-02-06,1,1,0,1,0,0,60,True
2024-02-07,1,1,0,1,0,0,60,True
2024-02-08,5,4,1,4,0,0,240,True
2024-02-12,2,1,1,1,0,0,60,True
2024-02-13,6,4,2,4,0,0,240,True
2024-02-14,8,8,0,8,0,0,480,True
2024-02-15,3,3,0,3,0,0,180,True
2024-02-20,7,6,1,6,0,0,360,True
2024-02-22,2,2,0,2,0,0,120,True
2024-02-25,7,6,1,6,0,0,360,True
2024-02-26,2,1,1,1,0,0,60,True
2024-02-27,17,14,3,14,0,0,840,True
2024-02-28,9,9,0,9,0,0,540,True
2024-02-29,12,9,3,9,0,0,540,True
2024-03-05,6,6,0,6,0,0,360,True
2024-03-06,19,14,5,14,0,0,840,True
2024-03-07,18,18,0,18,0,0,1080,True
2024-03-12,4,2,2,0,2,0,-32,False
2024-03-13,5,5,0,5,0,0,300,True
2024-03-14,1,1,0,0,1,0,-16,False
2024-03-18,2,2,0,1,1,0,44,True
2024-03-21,9,6,3,6,0,0,360,True
2024-03-25,1,1,0,1,0,0,60,True
2024-04-02,5,3,2,3,0,0,180,True
2024-04-03,1,1,0,1,0,0,60,True
2024-04-04,4,2,2,1,1,0,44,True
2024-04-08,4,1,3,1,0,0,60,True
2024-04-09,7,4,3,4,0,0,240,True
2024-04-10,2,2,0,2,0,0,120,True
2024-04-11,4,2,2,2,0,0,120,True
2024-04-15,9,8,1,8,0,0,480,True
2024-04-16,8,7,1,7,0,0,420,True
2024-04-18,5,4,1,2,2,0,88,True
2024-04-22,3,1,2,1,0,0,60,True
2024-04-29,7,5,2,5,0,0,300,True
2024-04-30,6,6,0,6,0,0,360,True
2024-05-01,3,2,1,2,0,0,120,True
2024-05-02,3,3,0,3,0,0,180,True
2024-05-06,4,2,2,2,0,0,120,True
2024-05-07,1,1,0,1,0,0,60,True
2024-05-08,3,2,1,1,1,0,44,True
2024-05-13,6,4,2,3,1,0,164,True
2024-05-14,1,1,0,1,0,0,60,True
2024-05-15,4,4,0,4,0,0,240,True
2024-05-16,8,2,6,2,0,0,120,True
2024-05-20,12,5,7,5,0,0,300,True
2024-05-21,14,10,4,10,0,0,600,True
2024-05-22,6,6,0,6,0,0,360,True
2024-05-26,1,1,0,1,0,0,60,True
2024-05-27,1,1,0,1,0,0,60,True
2024-05-28,8,8,0,8,0,0,480,True
2024-05-30,3,2,1,1,1,0,44,True
2024-06-03,14,14,0,14,0,0,840,True
2024-06-04,1,1,0,1,0,0,60,True
2024-06-05,6,3,3,3,0,0,180,True
2024-06-06,16,15,1,15,0,0,900,True
2024-06-11,10,5,5,5,0,0,300,True
2024-06-12,1,1,0,1,0,0,60,True
2024-06-13,15,8,7,8,0,0,480,True
2024-06-17,2,2,0,0,2,0,-32,False
2024-06-18,2,1,1,0,1,0,-16,False
2024-06-19,11,11,0,10,1,0,584,True
2024-06-20,5,2,3,0,2,0,-32,False
2024-06-24,2,1,1,1,0,0,60,True
2024-06-25,4,2,2,2,0,0,120,True
2024-06-26,6,3,3,2,1,0,104,True
2024-06-27,1,1,0,1,0,0,60,True
2024-06-30,1,1,0,1,0,0,60,True
2024-07-01,9,2,7,0,2,0,-32,False
2024-07-03,3,2,1,2,0,0,120,True
2024-07-04,2,1,1,1,0,0,60,True
2024-07-09,5,4,1,4,0,0,240,True
2024-07-11,1,1,0,1,0,0,60,True
2024-07-17,5,3,2,3,0,0,180,True
2024-07-22,1,1,0,1,0,0,60,True
2024-07-25,1,1,0,1,0,0,60,True
2024-07-29,5,2,3,1,1,0,44,True
2024-08-05,3,3,0,3,0,0,180,True
2024-08-06,4,3,1,1,2,0,28,True
2024-08-08,8,8,0,7,1,0,404,True
2024-08-12,14,11,3,11,0,0,660,True
2024-08-13,2,1,1,1,0,0,60,True
2024-08-14,6,3,3,3,0,0,180,True
2024-08-15,8,6,2,5,1,0,284,True
2024-08-19,6,2,4,2,0,0,120,True
2024-08-20,3,3,0,3,0,0,180,True
2024-08-26,3,2,1,2,0,0,120,True
2024-08-27,5,5,0,5,0,0,300,True
2024-08-28,1,1,0,0,1,0,-16,False
2024-08-29,2,2,0,2,0,0,120,True
2024-09-02,21,12,9,11,1,0,644,True
2024-09-03,6,3,3,1,2,0,28,True
2024-09-04,8,8,0,8,0,0,480,True
2024-09-05,6,6,0,6,0,0,360,True
2024-09-09,16,9,7,7,2,0,388,True
