trade_date,timestamp,day_of_week,hour,level_name,level_price,entry_price,approach,direction,outcome,ticks,mae,bars_held
2024-01-15,2024-01-15 18:30:00-05:00,Monday,18,prev_day_low,4809.0,4809.0,bearish,long,win,60,4.0,30
2024-01-15,2024-01-15 18:30:00-05:00,Monday,18,prev_day_low,4809.0,4809.0,bearish,short,loss,-16,16.0,30
2024-01-15,2024-01-15 18:42:00-05:00,Monday,18,prev_day_low,4809.0,4809.0,bearish,long,win,60,4.0,18
2024-01-15,2024-01-15 18:42:00-05:00,Monday,18,prev_day_low,4809.0,4809.0,bearish,short,loss,-16,16.0,18
2024-01-15,2024-01-15 18:52:00-05:00,Monday,18,prev_day_low,4809.0,4809.0,neutral,long,win,60,4.0,8
2024-01-15,2024-01-15 18:52:00-05:00,Monday,18,prev_day_low,4809.0,4809.0,neutral,short,loss,-16,16.0,8
2024-01-15,2024-01-15 19:00:00-05:00,Monday,19,prev_overnight_low,4806.5,4806.5,bearish,long,win,60,12.0,2
2024-01-15,2024-01-15 19:00:00-05:00,Monday,19,prev_overnight_low,4806.5,4806.5,bearish,short,loss,-16,16.0,2
2024-01-15,2024-01-15 19:15:00-05:00,Monday,19,prev_overnight_low,4806.5,4806.5,bullish,long,win,60,1.0,7
2024-01-15,2024-01-15 19:15:00-05:00,Monday,19,prev_overnight_low,4806.5,4806.5,bullish,short,loss,-16,16.0,7
2024-01-24,2024-01-24 20:02:00-05:00,Wednesday,20,prev_overnight_low,4900.25,4900.25,bullish,long,win,60,0.0,4
2024-01-24,2024-01-24 20:02:00-05:00,Wednesday,20,prev_overnight_low,4900.25,4900.25,bullish,short,loss,-16,16.0,4
2024-01-24,2024-01-24 20:11:00-05:00,Wednesday,20,prev_overnight_low,4900.25,4900.25,bearish,long,loss,-16,16.0,16
2024-01-24,2024-01-24 20:11:00-05:00,Wednesday,20,prev_overnight_low,4900.25,4900.25,bearish,short,loss,-16,16.0,23
2024-01-24,2024-01-24 20:30:00-05:00,Wednesday,20,prev_day_low,4895.25,4895.25,bearish,long,win,60,2.0,4
2024-01-24,2024-01-24 20:30:00-05:00,Wednesday,20,prev_day_low,4895.25,4895.25,bearish,short,loss,-16,16.0,4
