trade_date,timestamp,day_of_week,hour,session_type,level_type,level_price,entry_price,touch_count,approach,direction,confluences,confluence_count,outcome,ticks,mae,bars_held
2024-01-02,2024-01-02 18:33:00-05:00,Tuesday,18,previous_day,poc,4788.0,4788.0,1,neutral,long,none,0,win,60,2.0,51
2024-01-02,2024-01-02 18:33:00-05:00,Tuesday,18,previous_day,poc,4788.0,4788.0,1,neutral,short,none,0,loss,-16,16.0,51
2024-01-02,2024-01-02 18:43:00-05:00,Tuesday,18,previous_day,poc,4788.0,4788.0,2,neutral,long,none,0,win,60,2.0,41
2024-01-02,2024-01-02 18:43:00-05:00,Tuesday,18,previous_day,poc,4788.0,4788.0,2,neutral,short,none,0,loss,-16,16.0,41
2024-01-02,2024-01-02 19:01:00-05:00,Tuesday,19,previous_day,poc,4788.0,4788.0,3,bearish,long,none,0,win,60,1.0,23
2024-01-02,2024-01-02 19:01:00-05:00,Tuesday,19,previous_day,poc,4788.0,4788.0,3,bearish,short,none,0,loss,-16,16.0,23
2024-01-02,2024-01-02 19:11:00-05:00,Tuesday,19,previous_day,poc,4788.0,4788.0,4,neutral,long,none,0,win,60,0.0,13
2024-01-02,2024-01-02 19:11:00-05:00,Tuesday,19,previous_day,poc,4788.0,4788.0,4,neutral,short,none,0,loss,-16,16.0,13
2024-01-02,2024-01-02 19:36:00-05:00,Tuesday,19,previous_day,poc,4788.0,4788.0,5,neutral,long,none,0,win,60,9.0,30
2024-01-02,2024-01-02 19:36:00-05:00,Tuesday,19,previous_day,poc,4788.0,4788.0,5,neutral,short,none,0,loss,-16,16.0,30
2024-01-03,2024-01-03 19:09:00-05:00,Wednesday,19,previous_day,poc,4747.0,4747.0,1,neutral,long,none,0,win,60,1.0,12
2024-01-03,2024-01-03 19:09:00-05:00,Wednesday,19,previous_day,poc,4747.0,4747.0,1,neutral,short,none,0,loss,-16,16.0,12
2024-01-09,2024-01-09 19:03:00-05:00,Tuesday,19,previous_day,poc,4793.0,4793.0,1,bullish,long,none,0,win,60,0.0,10
2024-01-09,2024-01-09 19:03:00-05:00,Tuesday,19,previous_day,poc,4793.0,4793.0,1,bullish,short,none,0,loss,-16,16.0,10
2024-01-09,2024-01-09 19:45:00-05:00,Tuesday,19,previous_day,poc,4793.0,4793.0,2,bearish,long,none,0,win,60,3.0,5
